3.6.3.86383 3905947 2026-08-04 12:12:37.444 INFO  tDispatcher-worker-1 SshImportedConfigsProviderImpl Plugin ssh > Importing OpenSSH configs from: /home/wil/.ssh/config
3.6.3.86383 3905947 2026-08-04 12:12:37.451 INFO  tDispatcher-worker-8 IntellijSshConfigImporter      Plugin ssh > Importing IntelliJ SSH configuration from /home/wil/.config/JetBrains/Air
3.6.3.86383 3905947 2026-08-04 12:12:37.456 INFO  tDispatcher-worker-8 IntellijSshConfigImporter      Plugin ssh > Importing IntelliJ SSH configuration from /home/wil/.config/JetBrains/IntelliJIdea2026.1
3.6.3.86383 3905947 2026-08-04 12:12:37.458 INFO  tDispatcher-worker-8 IntellijSshConfigImporter      Plugin ssh > Importing IntelliJ SSH configuration from /home/wil/.config/JetBrains/CLion2026.1
3.6.3.86383 3905947 2026-08-04 12:12:37.461 INFO  tDispatcher-worker-8 IntellijSshConfigImporter      Plugin ssh > Importing IntelliJ SSH configuration from /home/wil/.config/JetBrains/GoLand2026.1
3.6.3.86383 3905947 2026-08-04 12:12:37.465 INFO  tDispatcher-worker-8 IntellijSshConfigImporter      Plugin ssh > Importing IntelliJ SSH configuration from /home/wil/.config/JetBrains/RubyMine2026.1
3.6.3.86383 3905947 2026-08-04 12:12:37.470 INFO  tDispatcher-worker-8 IntellijSshConfigImporter      Plugin ssh > Importing IntelliJ SSH configuration from /home/wil/.config/JetBrains/DataGrip2026.1
3.6.3.86383 3905947 2026-08-04 12:12:37.473 INFO  tDispatcher-worker-8 IntellijSshConfigImporter      Plugin ssh > Importing IntelliJ SSH configuration from /home/wil/.config/JetBrains/PyCharm2026.1
3.6.3.86383 3905947 2026-08-04 12:12:37.477 INFO  tDispatcher-worker-8 IntellijSshConfigImporter      Plugin ssh > Importing IntelliJ SSH configuration from /home/wil/.config/JetBrains/RustRover2026.1
3.6.3.86383 3905947 2026-08-04 12:12:37.480 INFO  tDispatcher-worker-8 IntellijSshConfigImporter      Plugin ssh > Importing IntelliJ SSH configuration from /home/wil/.config/JetBrains/Rider2026.1
3.6.3.86383 3920304 2026-08-04 12:15:55.754 INFO  Dispatcher-worker-18 SshImportedConfigsProviderImpl Plugin ssh > Importing OpenSSH configs from: /home/wil/.ssh/config
